"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Direction"
"GO:0034470","GO:0034470","ncRNA processing","51/887","375/11776",2.49694584832676e-05,0.00948987285199913,0.00912441453985564,"Trmt1/Utp20/Hnrnpa2b1/Osgep/Mettl16/Mtrex/Utp25/Ints2/Esr1/Helb/Pus10/Elac2/Prorp/Nol8/Rpp40/Mettl3/Ngdn/Zc3h7b/Prkdc/Dgcr8/Wdr4/Thada/Elp2/Tnf/Wdr12/Nsun6/Exosc8/Nsun4/Ago3/Ints11/Ddx51/Mphosph6/Ints10/Dus2/Dis3/Trmt13/Trmt5/Ints6/Ddx1/Zc3h7a/Mrm3/Suv39h1/Dicer1/Utp15/Ago4/Zc3h12a/Trmt1l/Las1l/Mdn1/Mocs3/Alkbh1",51,"Up"
"GO:0006310","GO:0006310","DNA recombination","41/887","279/11776",2.59963145363041e-05,0.00948987285199913,0.00912441453985564,"Ercc1/Msh6/Msh3/Rev3l/Helb/Xrcc3/Nipbl/Bcl6/Prkdc/Ubr2/Smchd1/Thoc1/Smc5/Mms19/Ercc5/Nabp1/Dclre1c/Lef1/Sfpq/Meaf6/Rpa2/Xrcc2/Mcm7/Foxp1/Fus/Polb/Mre11a/Exd2/Atm/Rif1/Actr5/Rtel1/Pogz/Ap5z1/Nfrkb/Klhl15/Prdm9/Mcm9/Mbtd1/Zfyve26/Rnf8",41,"Up"
"GO:0035195","GO:0035195","miRNA-mediated gene silencing","15/887","60/11776",2.70426012880291e-05,0.00948987285199913,0.00912441453985564,"Hnrnpa2b1/Esr1/Pus10/Mettl3/Zc3h7b/Dgcr8/Tnf/Nfkb1/Ago3/Cnot1/Zc3h7a/Dicer1/Ago4/Zc3h12a/Tnrc6a",15,"Up"
"GO:0001510","GO:0001510","RNA methylation","16/887","68/11776",3.318688918029e-05,0.0105217288266403,0.0101165333811602,"Trmt1/Mettl16/Cbll1/Mettl3/Wdr4/Thada/Nsun6/Mettl14/Nsun4/Mepce/Trmt13/Trmt5/Mrm3/Mettl8/Rbm15/Trmt1l",16,"Up"
"GO:0000724","GO:0000724","double-strand break repair via homologous recombination","26/887","147/11776",3.48137618440948e-05,0.0105217288266403,0.0101165333811602,"Rev3l/Helb/Xrcc3/Nipbl/Smchd1/Smc5/Mms19/Ercc5/Nabp1/Sfpq/Meaf6/Rpa2/Xrcc2/Mcm7/Fus/Mre11a/Exd2/Atm/Rif1/Rtel1/Pogz/Ap5z1/Klhl15/Mcm9/Mbtd1/Zfyve26",26,"Up"
"GO:0000725","GO:0000725","recombinational repair","26/887","148/11776",3.92780267918383e-05,0.0105217288266403,0.0101165333811602,"Rev3l/Helb/Xrcc3/Nipbl/Smchd1/Smc5/Mms19/Ercc5/Nabp1/Sfpq/Meaf6/Rpa2/Xrcc2/Mcm7/Fus/Mre11a/Exd2/Atm/Rif1/Rtel1/Pogz/Ap5z1/Klhl15/Mcm9/Mbtd1/Zfyve26",26,"Up"
"GO:0035196","GO:0035196","production of miRNAs involved in gene silencing by miRNA","12/887","42/11776",4.12707405831547e-05,0.0105217288266403,0.0101165333811602,"Hnrnpa2b1/Esr1/Pus10/Mettl3/Zc3h7b/Dgcr8/Tnf/Ago3/Zc3h7a/Dicer1/Ago4/Zc3h12a",12,"Up"
"GO:0032200","GO:0032200","telomere organization","25/887","140/11776",4.15149318017374e-05,0.0105217288266403,0.0101165333811602,"Ercc1/Hnrnpa2b1/Ezh1/Tinf2/Map3k4/Ctc1/Xrcc3/Myc/Prkdc/Smc5/Dclre1c/Dhx36/Rpa2/Mapkapk5/Smg1/Mre11a/Atr/Atm/Rif1/Actr5/Rtel1/Ppp1r10/Nfrkb/Stn1/Hdac8",25,"Up"
"GO:0043414","GO:0043414","macromolecule methylation","39/887","268/11776",5.07490308198555e-05,0.0121283503536979,0.0116612833530675,"Trmt1/Kmt2a/Ezh1/Mettl16/Myb/Btg2/Cbll1/Mettl3/Myc/L3mbtl2/Satb1/Wdr4/Ndufaf7/Thada/Iws1/Nsun6/Mettl14/Nsun4/Nelfa/Mepce/Ilf3/Trmt13/Setd5/Trmt5/Rif1/Btg1/Jmjd4/Setd7/Mrm3/Kmt2c/Ncoa6/Atpsckmt/Suv39h1/Mettl8/Rbm15/Prdm9/Trmt1l/Smyd3/Rsl1",39,"Up"
"GO:0048536","GO:0048536","spleen development","11/887","37/11776",5.75202561978234e-05,0.0121283503536979,0.0116612833530675,"Kmt2a/Myb/Ctc1/Ppp2r3c/Prkdc/Nfkb2/Polb/Dicer1/Rbm15/Bcl3/Bcl2",11,"Up"
"GO:0050657","GO:0050657","nucleic acid transport","23/887","126/11776",5.84883182335279e-05,0.0121283503536979,0.0116612833530675,"Mcm3ap/Nup214/Slbp/Hnrnpa2b1/Nup85/Ncbp3/Zfp36l1/Nup155/Hsf1/Fyttd1/Srsf7/Thoc1/Iws1/Ahctf1/Ncbp1/Khdrbs1/Nup93/Ythdc1/Nup88/Hnrnpa1/Pom121/Srsf3/Thoc2l",23,"Up"
"GO:0050658","GO:0050658","RNA transport","23/887","126/11776",5.84883182335279e-05,0.0121283503536979,0.0116612833530675,"Mcm3ap/Nup214/Slbp/Hnrnpa2b1/Nup85/Ncbp3/Zfp36l1/Nup155/Hsf1/Fyttd1/Srsf7/Thoc1/Iws1/Ahctf1/Ncbp1/Khdrbs1/Nup93/Ythdc1/Nup88/Hnrnpa1/Pom121/Srsf3/Thoc2l",23,"Up"
"GO:0000723","GO:0000723","telomere maintenance","24/887","135/11776",6.32793378056124e-05,0.0125513190899654,0.0120679634158346,"Ercc1/Hnrnpa2b1/Tinf2/Map3k4/Ctc1/Xrcc3/Myc/Prkdc/Smc5/Dclre1c/Dhx36/Rpa2/Mapkapk5/Smg1/Mre11a/Atr/Atm/Rif1/Actr5/Rtel1/Ppp1r10/Nfrkb/Stn1/Hdac8",24,"Up"
"GO:0035194","GO:0035194","post-transcriptional gene silencing by RNA","15/887","65/11776",7.38955352041864e-05,0.0137774991423825,0.0132469228469295,"Hnrnpa2b1/Esr1/Pus10/Mettl3/Zc3h7b/Dgcr8/Tnf/Nfkb1/Ago3/Cnot1/Zc3h7a/Dicer1/Ago4/Zc3h12a/Tnrc6a",15,"Up"
"GO:0016233","GO:0016233","telomere capping","11/887","38/11776",7.55014201138893e-05,0.0137774991423825,0.0132469228469295,"Ercc1/Hnrnpa2b1/Tinf2/Map3k4/Prkdc/Dclre1c/Mapkapk5/Mre11a/Atm/Rtel1/Stn1",11,"Up"
"GO:0070918","GO:0070918","primary sncRNA processing","12/887","45/11776",8.69673635550186e-05,0.0152594274053075,0.0146717815357799,"Hnrnpa2b1/Esr1/Pus10/Mettl3/Zc3h7b/Dgcr8/Tnf/Ago3/Zc3h7a/Dicer1/Ago4/Zc3h12a",12,"Up"
"GO:0006302","GO:0006302","double-strand break repair","36/887","247/11776",9.45796708466956e-05,0.0159804614223195,0.0153650482814106,"Ercc1/Rev3l/Helb/Xrcc3/Nipbl/Hsf1/Prkdc/Smchd1/Smc5/Mms19/Ercc5/Nabp1/Dclre1c/Sfpq/Meaf6/Rpa2/Xrcc2/Mcm7/Fus/Polb/Mre11a/Exd2/Atm/Parp2/Rif1/Ddx1/Actr5/Rtel1/Pogz/Ap5z1/Klhl15/Prdm9/Mcm9/Mbtd1/Zfyve26/Rnf8",36,"Up"
"GO:0032204","GO:0032204","regulation of telomere maintenance","18/887","91/11776",0.000126637750093026,0.0206329077115852,0.0198383272420165,"Ercc1/Hnrnpa2b1/Tinf2/Map3k4/Ctc1/Myc/Dhx36/Mapkapk5/Smg1/Mre11a/Atr/Atm/Actr5/Rtel1/Ppp1r10/Nfrkb/Stn1/Hdac8",18,"Up"
"GO:0016441","GO:0016441","post-transcriptional gene silencing","15/887","69/11776",0.000152091788879598,0.023925611754094,0.0230042281038579,"Hnrnpa2b1/Esr1/Pus10/Mettl3/Zc3h7b/Dgcr8/Tnf/Nfkb1/Ago3/Cnot1/Zc3h7a/Dicer1/Ago4/Zc3h12a/Tnrc6a",15,"Up"
"GO:0006281","GO:0006281","DNA repair","58/887","476/11776",0.000168094714543778,0.0255616029249572,0.0245772166843482,"Ddb2/Ercc1/Hdac9/Msh6/Msh3/Rev3l/Helb/Polg2/Xrcc3/Nipbl/Hsf1/Prkdc/Smchd1/Smc5/Mms19/Cdk2/Ercc5/Nabp1/Dclre1c/Sfpq/Meaf6/Rpa2/Xrcc2/Pds5a/Mcm7/Smg1/Fus/Polb/Mre11a/Hinfp/Atr/Exd2/Cdc14b/Zbtb1/Pds5b/Atm/Tdg/Emsy/Parp2/Rif1/Ddx1/Actr5/Rad9b/Rtel1/Pogz/Kat7/Suv39h1/Ap5z1/Nfrkb/Klhl15/Prdm9/Fto/Mcm9/Mbtd1/Zfyve26/Alkbh1/Rnf8/Shprh",58,"Up"
"GO:0050684","GO:0050684","regulation of mRNA processing","21/887","119/11776",0.000198459558499316,0.02906387801873,0.0279446179432031,"Hnrnpa2b1/Ccnt1/Zfp36l1/Hsf1/Srsf7/Iws1/Sf1/Cdc73/Dhx36/Ncbp1/Srsf10/Khdrbs1/Srrm1/Rbmx/Srsf2/Cpsf7/Ythdc1/Rbm15/Jmjd6/Srsf3/Tia1",21,"Up"
"GO:0000375","GO:0000375","RNA splicing, via transesterification reactions","34/887","238/11776",0.000216609349547747,0.02906387801873,0.0279446179432031,"Hnrnpa2b1/Wdr83/Prpf3/Srsf5/Prpf4b/Mettl3/Srsf7/Sf1/Sf3b1/Khdc4/Mettl14/Ptbp2/Ncbp1/Psip1/Srsf10/Khdrbs1/Srrm1/Sfpq/Rbmx/Rbm41/Dbr1/Rbm4b/Srsf2/Prpf39/Ythdc1/Aqr/Hnrnpa1/Rbm15/Jmjd6/Prpf38a/Srsf3/Tia1/U2af1l4/Scnm1",34,"Up"
"GO:0000377","GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","34/887","238/11776",0.000216609349547747,0.02906387801873,0.0279446179432031,"Hnrnpa2b1/Wdr83/Prpf3/Srsf5/Prpf4b/Mettl3/Srsf7/Sf1/Sf3b1/Khdc4/Mettl14/Ptbp2/Ncbp1/Psip1/Srsf10/Khdrbs1/Srrm1/Sfpq/Rbmx/Rbm41/Dbr1/Rbm4b/Srsf2/Prpf39/Ythdc1/Aqr/Hnrnpa1/Rbm15/Jmjd6/Prpf38a/Srsf3/Tia1/U2af1l4/Scnm1",34,"Up"
"GO:0000398","GO:0000398","mRNA splicing, via spliceosome","34/887","238/11776",0.000216609349547747,0.02906387801873,0.0279446179432031,"Hnrnpa2b1/Wdr83/Prpf3/Srsf5/Prpf4b/Mettl3/Srsf7/Sf1/Sf3b1/Khdc4/Mettl14/Ptbp2/Ncbp1/Psip1/Srsf10/Khdrbs1/Srrm1/Sfpq/Rbmx/Rbm41/Dbr1/Rbm4b/Srsf2/Prpf39/Ythdc1/Aqr/Hnrnpa1/Rbm15/Jmjd6/Prpf38a/Srsf3/Tia1/U2af1l4/Scnm1",34,"Up"
"GO:1903131","GO:1903131","mononuclear cell differentiation","49/887","389/11776",0.000244530602189791,0.0318728173482807,0.0306453840398454,"Relb/Hdac9/Apc/Zmiz1/Myb/Itk/Ppp2r3c/Zfp36l1/Irf4/Mettl3/Myc/Bcl6/Prkdc/Lmbr1l/Satb1/Fasn/Entpd7/Abl2/Dclre1c/Il12a/Lef1/Mtor/Foxp1/Clec4e/Dock11/Il2rg/Malt1/Nfatc1/Zbtb1/Egr3/Atm/Dpp4/Nfkbiz/Nfkbid/Ifi206/Kat7/Dicer1/Zc3h12a/Fzd5/Gpr68/Themis/Carmil2/Zfp608/Bcl3/Txk/Jmjd6/Bcl2/Lgals8/Il11ra1",49,"Up"
"GO:0002286","GO:0002286","T cell activation involved in immune response","17/887","88/11776",0.000260579593686242,0.0318799052814556,0.0306521990142424,"Relb/Eif2ak4/Myb/Irf4/Bcl6/Entpd7/Apbb1ip/Lef1/Mtor/Foxp1/Clec4e/Malt1/Nfkbiz/Nfkbid/Icam1/Zc3h12a/Bcl3",17,"Up"
"GO:0043484","GO:0043484","regulation of RNA splicing","22/887","130/11776",0.000263267579616206,0.0318799052814556,0.0306521990142424,"Hnrnpa2b1/Hnrnph1/Clk4/Srsf5/Srsf7/Sf1/Clk1/Ptbp2/Ncbp1/Srsf10/Khdrbs1/Srrm1/Zfp326/Fus/Rbmx/Srsf2/Ythdc1/Rbm15/Jmjd6/Srsf3/Tia1/Rbm12",22,"Up"
"GO:0002292","GO:0002292","T cell differentiation involved in immune response","14/887","65/11776",0.000277540982636422,0.0318799052814556,0.0306521990142424,"Relb/Myb/Irf4/Bcl6/Entpd7/Lef1/Mtor/Foxp1/Clec4e/Malt1/Nfkbiz/Nfkbid/Zc3h12a/Bcl3",14,"Up"
"GO:0016570","GO:0016570","histone modification","53/887","433/11776",0.000284713888529393,0.0318799052814556,0.0306521990142424,"Kmt2a/Ddb2/Ppp5c/Hdac9/Ezh1/Myb/Jade2/Rps6ka5/Irf4/Nipbl/Brd1/L3mbtl2/Bcl6/Riox2/Satb1/Ubr2/Mllt1/Iws1/Ldb1/Cdk2/Usp16/Cdc73/Crtc2/Lef1/Hdac1/Sfpq/Meaf6/Nelfa/Kdm2b/Kdm5a/Taf1/Atm/Setd5/Parp2/Rif1/Jmjd4/Setd7/Taf2/Jmjd1c/Kmt2c/Ncoa6/Kat7/Suv39h1/Mettl8/Zfp451/Sin3a/Prdm9/Smyd3/Mbtd1/Mysm1/Msl2/Hdac8/Rnf8",53,"Up"
"GO:0030098","GO:0030098","lymphocyte differentiation","45/887","351/11776",0.000292916795286477,0.0318799052814556,0.0306521990142424,"Relb/Hdac9/Apc/Zmiz1/Myb/Itk/Ppp2r3c/Zfp36l1/Irf4/Mettl3/Bcl6/Prkdc/Lmbr1l/Satb1/Entpd7/Abl2/Dclre1c/Il12a/Lef1/Mtor/Foxp1/Clec4e/Dock11/Il2rg/Malt1/Nfatc1/Zbtb1/Egr3/Atm/Dpp4/Nfkbiz/Nfkbid/Kat7/Dicer1/Zc3h12a/Fzd5/Themis/Carmil2/Zfp608/Bcl3/Txk/Jmjd6/Bcl2/Lgals8/Il11ra1",45,"Up"
"GO:0009314","GO:0009314","response to radiation","43/887","331/11776",0.000297978117357989,0.0318799052814556,0.0306521990142424,"Kmt2a/Ddb2/Ercc1/Cacna1e/Eif2ak4/Msh6/Map3k4/Mapk9/Gh/Mapk8/Nipbl/Mettl3/Myc/Hsf1/Prkdc/Map4k3/Impact/Pmaip1/Ercc5/Nabp1/Trp53bp2/Opn3/Abl2/Dclre1c/Dhx36/Il12a/Xrcc2/Mtor/Clock/Kras/Atr/Zbtb1/Rbm4b/Atm/Actr5/Ifi206/Rad9b/Ccdc66/Bcl3/Bcl2/Ghrl/Cry2/Rnf8",43,"Up"
"GO:0002294","GO:0002294","CD4-positive, alpha-beta T cell differentiation involved in immune response","13/887","58/11776",0.000300490119926039,0.0318799052814556,0.0306521990142424,"Relb/Myb/Irf4/Bcl6/Entpd7/Lef1/Mtor/Foxp1/Malt1/Nfkbiz/Nfkbid/Zc3h12a/Bcl3",13,"Up"
"GO:0042093","GO:0042093","T-helper cell differentiation","13/887","58/11776",0.000300490119926039,0.0318799052814556,0.0306521990142424,"Relb/Myb/Irf4/Bcl6/Entpd7/Lef1/Mtor/Foxp1/Malt1/Nfkbiz/Nfkbid/Zc3h12a/Bcl3",13,"Up"
"GO:0032259","GO:0032259","methylation","40/887","302/11776",0.000321307734194474,0.0333137700771635,0.0320308451767554,"Trmt1/Kmt2a/Ezh1/Mettl16/Myb/Btg2/Cbll1/Mettl3/Myc/L3mbtl2/Satb1/Wdr4/Ndufaf7/Thada/Iws1/Nsun6/Mettl14/Nsun4/Nelfa/Mepce/Ilf3/Trmt13/Setd5/Trmt5/Prdm4/Rif1/Btg1/Jmjd4/Setd7/Mrm3/Kmt2c/Ncoa6/Atpsckmt/Suv39h1/Mettl8/Rbm15/Prdm9/Trmt1l/Smyd3/Rsl1",40,"Up"
"GO:0002293","GO:0002293","alpha-beta T cell differentiation involved in immune response","13/887","59/11776",0.000359286035708276,0.0364236198866923,0.0350209335858804,"Relb/Myb/Irf4/Bcl6/Entpd7/Lef1/Mtor/Foxp1/Malt1/Nfkbiz/Nfkbid/Zc3h12a/Bcl3",13,"Up"
"GO:0033044","GO:0033044","regulation of chromosome organization","29/887","197/11776",0.000371265003638303,0.0368198031869117,0.0354018597290803,"Ercc1/Hnrnpa2b1/Apc/Tinf2/Map3k4/Trappc12/Ctc1/Xrcc3/Myc/Smc5/Cdk2/Dhx36/Sfpq/Anapc4/Mapkapk5/Anapc7/Smg1/Mre11a/Atr/Atm/Actr5/Cdc16/Rtel1/Ppp1r10/Nfrkb/Sin3a/Stn1/Bub3/Hdac8",29,"Up"
"GO:0030217","GO:0030217","T cell differentiation","35/887","255/11776",0.000382552001768604,0.0371319623844334,0.0357019975670722,"Relb/Apc/Zmiz1/Myb/Itk/Zfp36l1/Irf4/Mettl3/Bcl6/Prkdc/Lmbr1l/Satb1/Entpd7/Abl2/Il12a/Lef1/Mtor/Foxp1/Clec4e/Il2rg/Malt1/Zbtb1/Egr3/Nfkbiz/Nfkbid/Dicer1/Zc3h12a/Fzd5/Themis/Carmil2/Zfp608/Bcl3/Txk/Jmjd6/Bcl2",35,"Up"
"GO:0006325","GO:0006325","chromatin organization","57/887","481/11776",0.000392819841346715,0.0373342524213274,0.0358964973441176,"Mcm3ap/Kmt2a/Hltf/Hdac9/Ezh1/Myb/Hcfc2/Mettl3/Myc/Brd1/L3mbtl2/Chd1/Satb1/Ubr2/Smchd1/Mllt1/Nr3c1/Cdk2/Usp16/Nasp/Hdac1/Meaf6/Kdm2b/Kdm5a/Rbl2/Zbtb1/Setd5/Tdg/Emsy/Ythdc1/Rif1/Setd7/Actr5/Ifi206/Jmjd1c/Kmt2c/Kat7/Suv39h1/Dicer1/Nfrkb/Sin3a/Rsbn1/Rbm15/Prdm9/Smyd3/Nap1l5/Lrif1/Jmjd6/Chd6/Mbtd1/Mysm1/Msl2/Hdac8/Arid1b/Cecr2/Rnf8/Shprh",57,"Up"
"GO:0051052","GO:0051052","regulation of DNA metabolic process","53/887","440/11776",0.000421519766055253,0.0390131455788999,0.0375107357408514,"Kmt2a/Ercc1/Hnrnpa2b1/Msh6/Tinf2/Map3k4/Msh3/Helb/Jade2/Polg2/Ctc1/Mapk8/Myc/Bcl6/Hsf1/Prkdc/Donson/Smchd1/Thoc1/Mms19/Cdk2/Dhx36/Meaf6/Rpa2/Nmnat1/Pds5a/Mapkapk5/Smg1/Rbbp6/Fus/Mre11a/Atr/Usp37/Atm/Rif1/Otud4/Fgf2/Actr5/Rtel1/Pogz/Kat7/Ppp1r10/Suv39h1/Nfrkb/Stn1/Klhl15/Prdm9/Camk2d/Parp4/Rsl1/Mbtd1/Hdac8/Rnf8",53,"Up"
"GO:0002287","GO:0002287","alpha-beta T cell activation involved in immune response","13/887","60/11776",0.000427588180391275,0.0390131455788999,0.0375107357408514,"Relb/Myb/Irf4/Bcl6/Entpd7/Lef1/Mtor/Foxp1/Malt1/Nfkbiz/Nfkbid/Zc3h12a/Bcl3",13,"Up"
"GO:0018205","GO:0018205","peptidyl-lysine modification","43/887","337/11776",0.000438880100601183,0.0392582552733843,0.0377464061755445,"Kmt2a/Hdac9/Ezh1/Zmiz1/Myb/Jade2/Rps6ka5/Irf4/Brd1/L3mbtl2/Dip2b/Mllt1/Iws1/Smc5/Ldb1/Pias2/Crtc2/Lef1/Meaf6/Nelfa/Sirt4/Taf1/Setd5/Rif1/Topors/Setd7/Taf2/Kmt2c/Ncoa6/Kat7/Atpsckmt/Suv39h1/Uspl1/Mettl8/Zfp451/Sin3a/Prdm9/Smyd3/Jmjd6/Mbtd1/Dhps/Msl2/Hdac8",43,"Up"
"GO:0046632","GO:0046632","alpha-beta T cell differentiation","19/887","109/11776",0.000461529400314456,0.0397850958600429,0.0382529579475297,"Relb/Myb/Itk/Irf4/Bcl6/Satb1/Entpd7/Abl2/Lef1/Mtor/Foxp1/Il2rg/Malt1/Nfkbiz/Nfkbid/Zc3h12a/Bcl3/Txk/Bcl2",19,"Up"
"GO:0031047","GO:0031047","gene silencing by RNA","16/887","84/11776",0.000462211766896597,0.0397850958600429,0.0382529579475297,"Hnrnpa2b1/Esr1/Pus10/Mettl3/Zc3h7b/Dgcr8/Tnf/Nfkb1/Ncbp1/Ago3/Cnot1/Zc3h7a/Dicer1/Ago4/Zc3h12a/Tnrc6a",16,"Up"
"GO:0043367","GO:0043367","CD4-positive, alpha-beta T cell differentiation","15/887","77/11776",0.000537335851372387,0.0453949287770524,0.0436467542430553,"Relb/Myb/Irf4/Bcl6/Satb1/Entpd7/Lef1/Mtor/Foxp1/Il2rg/Malt1/Nfkbiz/Nfkbid/Zc3h12a/Bcl3",15,"Up"
"GO:00301681","GO:0030168","platelet activation","42/2130","75/11776",1.73447206934431e-13,7.12462303784529e-10,6.31657923089149e-10,"Alox12/Vwf/Plek/Itgb3/P2rx1/Dmtn/Treml1/Jak2/Fermt3/Ptprj/Pdgfa/Serpine2/Selp/Prkcq/Gnas/P2ry1/Pear1/Pf4/Gp9/Cd9/Gata1/Fundc2/Ubash3b/Pik3cb/P2ry12/Rap2b/F11r/Ptger3/Lyn/Sh2b3/Gp5/F2r/F2rl3/Gp1ba/Gp1bb/Prkca/Prkg1/Mmrn1/Pla2g4a/Abat/Fcer1g/Ppia",42,"Down"
